1 input_1.asc: UAV Cruise and satellite targeting Mar 14 2025 13:55:26
  0  0 50
time            mach_c1         lonx_c1         latx_c1         alt_c1          
dvbe_c1         psivgx_c1       thtvgx_c1       SBEG1_c1        SBEG2_c1        
SBEG3_c1        VBEG1_c1        VBEG2_c1        VBEG3_c1        SBII1_c1        
SBII2_c1        SBII3_c1        thrust_c1       mach_t1         lonx_t1         
latx_t1         alt_t1          dvbe_t1         psivgx_t1       thtvgx_t1       
SBEG1_t1        SBEG2_t1        SBEG3_t1        VBEG1_t1        VBEG2_t1        
VBEG3_t1        SBII1_t1        SBII2_t1        SBII3_t1        mach_s1         
lonx_s1         latx_s1         alt_s1          dvbe_s1         psivgx_s1       
thtvgx_s1       SBEG1_s1        SBEG2_s1        SBEG3_s1        VBEG1_s1        
VBEG2_s1        VBEG3_s1        SBII1_s1        SBII2_s1        SBII3_s1        
5456.45         -3.8623         5.845e+06       1.05481e+06     3.45456e+06     
4.5             0.647874        14.7103         35.4            7002.15         
202.36          89.8805         0.0646431       1.82324         915.226         
-2.14728        0.42199         202.36          -0.22831        5.02803e+06     
1.32181e+06     3.69465e+06     1676.45         0.0294187       15.4006         
35.3003         100.003         9.99972         45.0019         0.00376205      
32.1714         32.1735         -0.00281038     7.07063         7.07111         
-0.000656582    5.01251e+06     1.3825e+06      3.68161e+06     26.1346         
10.2393         30.2063         500010          7699.94         45.1394         
0.0320938       24743.3         24803.4         -10.2871        5431.42         
5457.91         -4.31306        5.84313e+06     1.05746e+06     3.4569e+06      
5               0.649528        14.7114         35.4            7001.89         
202.875         89.8855         -0.327852       2.02994         1016.54         
-1.8883         0.405563        202.872         1.16087         5.02796e+06     
1.32209e+06     3.69465e+06     1676.44         0.0294187       15.4006         
35.3003         100.003         9.99972         45.002          0.003807        
35.7067         35.709          -0.00314064     7.07063         7.07111         
-0.000664428    5.01245e+06     1.38268e+06     3.68161e+06     26.1345         
10.2656         30.229          500013          7699.93         45.1548         
0.035448        27458.6         27532.8         -12.5564        5429.95         
5459.36         -4.76382        5.84126e+06     1.06012e+06     3.45925e+06     
5.5             0.651024        14.7125         35.4            7001.12         
