1 input_1.asc: UAV Cruise and satellite targeting ' UAV ' Nov  2 2023 17:15:34
  0  0 48
time            FSPV1           FSPV2           FSPV3           pdynmc          
mach            lonx            latx            alt             dvbe            
psivgx          thtvgx          SBEG1           SBEG2           SBEG3           
VBEG1           VBEG2           VBEG3           mprop           cg              
thrust          cl_ov_cd        psivgcx         thtvgcx         anx             
avx             alphax          phimvx          phicx           phix            
qq              tip             alp             ancomx          alcomx          
alx             altd            altcom          wp_grdrange     wp_flag         
range_go        STBG1           STBG2           STBG3           time_go         
psisbx          thtsbx          mtargeting      
0               8.13696         0.132625        0.234073        0.132625        
-0.0216506      2.76235         0.142017        0.771484        0.00256552      
0.00267294      3.14756         7000            17576.8         0               
0               0               0               0               0               
0               0               0               
2.8             0.430545        0.0317454       -11.3609        11914.5         
0.643724        14.7065         35.4            6997.65         201.037         
89.8531         1.0211          1.03477         572.558         2.35186         
0.51551         201.004         -3.58258        6               133.672         
1676.49         9.04515         90              0               1.1439          
0               7.25592         0.166604        0.219135        0.166604        
-0.0312194      2.76233         0.12664         0.706375        0.00218942      
0.00323992      3.58258         7000            17536.7         0               
0               0               0               0               0               
0               0               0               
3               0.619655        0.0320379       -10.2247        11920.8         
0.643926        14.707          35.4            6998.39         201.107         
89.857          1.08086         1.1365          612.765         1.6107          
0.501737        201.07          -3.79356        6               133.672         
1676.49         9.5912          90              0               1.0294          
0               6.36026         0.181911        0.198943        0.181911        
-0.035413       2.76184         0.111007        0.662151        0.00178889      
0.00326977      3.79356         7000            17496.5         0               
0               0               0               0               0               
0               0               0               
3.2             0.776431        0.0293495       -9.12973        11931.1         
0.644238        14.7074         35.4            6999.15         201.21          
89.8609         1.07673         1.23549         652.989         0.849834        
0.48832         201.174         -3.781          6               133.673         
1676.48         10.0484         90              0               0.919257        
0               5.51073         0.1835          0.173943        0.1835          
-0.0344075      2.76091         0.0961804       0.640136        0.0013969       
0.0029954       3.781           7000            17456.3         0               
0               0               0               0               0               
0               0               0               
3.4             0.896026        0.0252543       -8.14487        11944.9         
0.644645        14.7078         35.4            6999.89         201.342         
89.8646         1.01312         1.33188         693.237         0.11266         
0.475667        201.31          -3.56           6               133.673         
1676.48         10.33           90              0               0.820314        
0               4.75999         0.174545        0.143832        0.174545        
-0.0286985      2.75957         0.0830775       0.64012         0.00103089      
0.00257744      3.56            7000            17416.1         0               
0               0               0               0               0               
0               0               0               
3.6             0.979912        0.020724        -7.32637        11961.7         
0.645129        14.7083         35.4            7000.56         201.496         
89.8681         0.898045        1.42582         733.515         -0.561709       
0.463937        201.471         -3.15809        6               133.673         
1676.48         10.4038         90              0               0.73816         
0               4.14982         0.156924        0.108224        0.156924        
-0.0190473      2.75788         0.0724281       0.660491        0.000698085     
0.00211508      3.15809         7000            17375.9         0               
0               0               0               0               0               
0               0               0               
3.8             1.03327         0.0162621       -6.71548        11980.9         
0.645674        14.7087         35.4            7001.14         201.669         
89.8712         0.74228         1.51752         773.827         -1.14069        
0.45314         201.652         -2.61259        6               133.674         
1676.47         10.3224         90              0               0.676879        
0               3.70931         0.131833        0.0675928       0.131833        
-0.00641305     2.75589         0.0647396       0.698436        0.000399853     
0.0016597       2.61259         7000            17335.6         0               
0               0               0               0               0               
0               0               0               
4               1.06229         0.0120374       -6.33683        12002           
0.646266        14.7092         35.4            7001.6          201.856         
89.8742         0.55847         1.60714         814.176         -1.59989        
0.443228        201.846         -1.96748        6               133.674         
1676.47         10.1977         90              0               0.63891         
0               3.45389         0.100516        0.0241628       0.100516        
0.00812478      2.75367         0.0602818       0.750215        0.000134931     
0.00122853      1.96748         7000            17295.3         0               
0               0               0               0               0               
0               0               0               
4.2             1.072           0.00801423      -6.19802        12024.7         
0.646893        14.7096         35.4            7001.92         202.053         
89.8769         0.360147        1.69486         854.565         -1.92409        
0.434143        202.048         -1.27004        6               133.674         
1676.46         10.1336         90              0               0.625004        
0               3.38548         0.0649333       -0.0180084      0.0649333       
0.023448        2.75125         0.0590879       0.811469        -9.83784e-05    
0.000817929     1.27004         7000            17255           0               
0               0               0               0               0               
0               0               0               
4.4             1.06522         0.00407872      -6.29036        12048.5         
0.647543        14.7101         35.4            7002.11         202.257         
89.8794         0.160765        1.78085         894.996         -2.10756        
0.425847        202.255         -0.567507       6               133.674         
1676.45         10.1711         90              0               0.634283        
0               3.4934          0.0279575       -0.0543079      0.0279575       
0.0384777       2.74868         0.0609713       0.877551        -0.000301077    
0.000416273     0.567507        7000            17214.6         0               
0               0               0               0               0               
0               0               0               
4.6             1.04255         0.000149559     -6.59057        12073.1         
0.648207        14.7105         35.4            7002.15         202.464         
89.8816         -0.0271742      1.86526         935.468         -2.15378        
0.418326        202.464         0.0960246       6               133.675         
1676.45         10.2774         90              0               0.664422        
0               3.75609         -0.00712152     -0.0815062      -0.00712152     
0.0522436       2.746           0.0655562       0.943856        -0.000473298    
1.52639e-05     -0.0960246      7000            17174.2         0               
0               0               0               0               0               
0               0               0               
4.8             1.00328         -0.00375427     -7.06346        12098           
0.648873        14.711          35.4            7002.07         202.672         
89.8836         -0.192881       1.94823         975.981         -2.07448        
0.411572        202.67          0.682274        6               133.675         
1676.44         10.376          90              0               0.711897        
0               4.14353         -0.0374899      -0.0988371      -0.0374899      
0.0639401       2.74326         0.0723182       1.00612         -0.000614885    
-0.000383159    -0.682274       7000            17133.7         0               
0               0               0               0               0               
0               0               0               
5               0.946824        -0.00750882     -7.66505        12122.7         
0.649528        14.7114         35.4            7001.89         202.875         
89.8855         -0.327852       2.02994         1016.54         -1.8883         
0.405563        202.872         1.16087         6               133.675         
1676.44         10.3934         90              0               0.772314        
0               4.61984         -0.0614911      -0.107621       -0.0614911      
0.0729666       2.74052         0.0806315       1.06066         -0.000726277    
-0.000766348    -1.16087        7000            17093.2         0               
0               0               0               0               0               
0               0               0               
5.2             0.873963        -0.0109332      -8.3466         12146.6         
0.650157        14.7119         35.4            7001.62         203.07          
89.8871         -0.426259       2.11051         1057.13         -1.61901        
0.400246        203.064         1.51075         6               133.676         
1676.43         10.2956         90              0               0.840801        
0               5.14624         -0.0787585      -0.110154       -0.0787585      
0.0789428       2.73773         0.0898188       1.10462         -0.0008092      
-0.00111584     -1.51075        7000            17052.7         0               
0               0               0               0               0               
0               0               0               
5.4             0.787813        -0.0138546      -9.058          12169.2         
0.650747        14.7123         35.4            7001.29         203.251         
89.8885         -0.48506        2.19008         1097.76         -1.29364        
0.395531        203.244         1.72068         6               133.676         
1676.43         10.0954         90              0               0.912346        
0               5.68355         -0.0899091      -0.108761       -0.0899091      
0.0817119       2.73473         0.0991967       1.13601         -0.000866877    
-0.001414       -1.72068        7000            17012.1         0               
0               0               0               0               0               
0               0               0               
5.6             0.694305        -0.0161562      -9.749          12190           
0.651287        14.7128         35.4            7000.94         203.416         
89.8898         -0.504092       2.26875         1138.43         -0.940444       
0.391301        203.408         1.78965         6               133.676         
1676.42         9.83575         90              0               0.981904        
0               6.19531         -0.0961108      -0.105366       -0.0961108      
0.0813853       2.73196         0.108129        1.15386         -0.000903771    
-0.0016489      -1.78965        7000            16971.4         0               
0               0               0               0               0               
0               0               0               
5.8             0.601085        -0.017805       -10.376         12208.7         
0.651768        14.7132         35.4            7000.59         203.563         
89.8909         -0.485826       2.34662         1179.12         -0.586911       
0.387425        203.555         1.72605         6               133.677         
1676.42         9.56457         90              0               1.04509         
0               6.64996         -0.0986969      -0.101327       -0.0986969      
0.0782514       2.72946         0.116064        1.15819         -0.000925       
-0.00181717     -1.72605        7000            16930.8         0               
0               0               0               0               0               
0               0               0               
6               0.516554        -0.0188442      -10.9034        12225           
0.652189        14.7137         35.4            7000.26         203.691         
89.892          -0.43496        2.42374         1219.85         -0.258023       
0.383776        203.685         1.5463          6               133.677         
1676.41         9.32088         90              0               1.09828         
0               7.02244         -0.098919       -0.097537       -0.098919       
0.07276         2.72725         0.122565        1.14992         -0.000935675    
-0.00192323     -1.5463         7000            16890.1         0               
